event_id,session_id,user_id,event_step,event_time,device_type,browser,traffic_source,product_id,product_category,product_price,order_value,payment_method,location
60,S_1340,U_489,Product_Page,2025-06-12 10:39:00,Tablet,Firefox,Google,P_219,Beauty,2293.51,7436.08,Credit Card,Chennai
61,S_1916,U_347,Product_Page,2025-06-01 11:28:00,Desktop,Edge,Instagram,P_239,Sportswear,1438.25,0.0,UPI,Kolkata
62,S_1023,U_459,Product_Page,2025-08-13 01:03:00,Desktop,Edge,Direct,P_147,Home & Kitchen,1838.47,0.0,UPI,Chennai
63,S_1403,U_566,Checkout,2025-10-14 19:12:00,Mobile,Safari,Email,P_272,Beauty,4931.18,8021.73,Credit Card,Hyderabad
64,S_1963,U_301,Product_Page,2025-09-01 16:23:00,Desktop,Firefox,Instagram,P_191,Beauty,2030.39,0.0,Debit Card,Hyderabad
65,S_1403,U_672,Product_Page,2025-10-23 10:22:00,Mobile,Safari,Instagram,P_120,Home & Kitchen,2775.61,0.0,Credit Card,Mumbai
66,S_1706,U_268,Product_Page,2025-09-01 23:17:00,Desktop,Chrome,Direct,P_255,Beauty,4286.98,9871.01,COD,Mumbai
67,S_1513,U_537,Homepage,2025-07-03 22:58:00,Desktop,Chrome,Direct,P_209,Beauty,2778.91,9696.49,UPI,Mumbai
68,S_1256,U_800,Checkout,2025-08-19 04:04:00,Tablet,Chrome,Facebook,P_241,Home & Kitchen,1824.93,0.0,Debit Card,Mumbai
69,S_1823,U_796,Homepage,2025-10-19 14:38:00,Mobile,Firefox,Facebook,P_233,Electronics,2761.63,0.0,Credit Card,Hyderabad
70,S_1587,U_123,Purchase,2025-07-09 04:42:00,Mobile,Chrome,Instagram,P_260,Clothing,836.21,0.0,Debit Card,Bangalore
71,S_1648,U_702,Checkout,2025-07-01 22:40:00,Desktop,Safari,Facebook,P_150,Sportswear,911.03,0.0,COD,Hyderabad
72,S_1571,U_455,Homepage,2025-06-25 03:48:00,Mobile,Firefox,Email,P_264,Clothing,3562.31,0.0,Debit Card,Bangalore
73,S_1317,U_94,Homepage,2025-07-09 08:24:00,Mobile,Safari,Google,P_127,Electronics,4612.07,4643.71,COD,Hyderabad
74,S_1757,U_148,Checkout,2025-07-23 04:27:00,Mobile,Edge,Instagram,P_115,Electronics,3710.69,2182.0,UPI,Kolkata
75,S_1854,U_286,Add_to_Cart,2025-10-25 16:17:00,Mobile,Firefox,Google,P_138,Beauty,650.68,7709.06,Debit Card,Hyderabad
76,S_1209,U_581,Add_to_Cart,2025-09-29 21:57:00,Mobile,Safari,Facebook,P_234,Clothing,2193.61,0.0,Credit Card,Mumbai
77,S_1922,U_244,Checkout,2025-07-17 06:31:00,Mobile,Safari,Direct,P_154,Electronics,312.0,0.0,Debit Card,Bangalore
78,S_1883,U_352,Homepage,2025-07-01 22:08:00,Desktop,Firefox,Instagram,P_292,Clothing,2702.67,0.0,Debit Card,Chennai
79,S_1376,U_406,Product_Page,2025-06-22 21:36:00,Mobile,Edge,Facebook,P_218,Electronics,1208.06,0.0,COD,Kolkata
80,S_1430,U_181,Homepage,2025-07-21 02:04:00,Desktop,Firefox,Email,P_147,Sportswear,4380.29,0.0,COD,Chennai
81,S_1426,U_470,Checkout,2025-08-11 16:57:00,Mobile,Chrome,Instagram,P_276,Electronics,790.37,8031.5,Credit Card,Kolkata
82,S_1136,U_70,Add_to_Cart,2025-09-27 12:51:00,Desktop,Chrome,Instagram,P_252,Clothing,306.74,0.0,UPI,Chennai
83,S_1205,U_386,Product_Page,2025-09-13 21:37:00,Mobile,Edge,Direct,P_145,Beauty,2420.39,8949.87,UPI,Mumbai
84,S_1001,U_353,Homepage,2025-10-31 04:54:00,Mobile,Safari,Instagram,P_210,Clothing,1030.54,0.0,COD,Chennai
85,S_1067,U_724,Product_Page,2025-07-10 18:32:00,Desktop,Safari,Direct,P_223,Home & Kitchen,3768.54,0.0,Credit Card,Hyderabad
86,S_1935,U_781,Product_Page,2025-08-08 22:11:00,Desktop,Safari,Facebook,P_204,Clothing,4623.69,4373.63,Debit Card,Mumbai
87,S_1874,U_549,Add_to_Cart,2025-10-23 05:39:00,Desktop,Firefox,Email,P_177,Sportswear,497.11,0.0,Credit Card,Chennai
88,S_1789,U_204,Add_to_Cart,2025-07-19 16:09:00,Mobile,Firefox,Email,P_196,Sportswear,2159.24,8996.5,Credit Card,Mumbai
89,S_1322,U_419,Checkout,2025-08-01 19:09:00,Mobile,Edge,Instagram,P_211,Sportswear,4985.03,0.0,Credit Card,Hyderabad
90,S_1333,U_619,Product_Page,2025-09-14 15:04:00,Desktop,Chrome,Instagram,P_265,Electronics,3743.56,5546.61,UPI,Mumbai
91,S_1963,U_189,Homepage,2025-09-22 02:02:00,Mobile,Safari,Facebook,P_129,Sportswear,4779.98,0.0,Debit Card,Chennai
92,S_1445,U_677,Add_to_Cart,2025-06-22 02:03:00,Desktop,Chrome,Direct,P_208,Clothing,1071.19,0.0,Credit Card,Mumbai
93,S_1866,U_175,Checkout,2025-07-12 01:32:00,Mobile,Firefox,Email,P_209,Beauty,1340.43,0.0,UPI,Kolkata
94,S_1588,U_77,Add_to_Cart,2025-08-28 10:47:00,Tablet,Firefox,Direct,P_134,Sportswear,1027.61,0.0,UPI,Delhi
95,S_1782,U_125,Checkout,2025-07-07 14:21:00,Desktop,Firefox,Facebook,P_242,Clothing,1721.13,8048.56,COD,Chennai
96,S_1671,U_97,Product_Page,2025-06-03 17:15:00,Mobile,Chrome,Email,P_192,Electronics,3704.61,0.0,Debit Card,Hyderabad
97,S_1106,U_789,Product_Page,2025-08-18 07:39:00,Desktop,Edge,Email,P_165,Electronics,1075.25,0.0,Credit Card,Bangalore
98,S_1831,U_367,Product_Page,2025-06-07 04:07:00,Desktop,Edge,Google,P_271,Beauty,2763.9,0.0,Debit Card,Mumbai
99,S_1453,U_538,Homepage,2025-08-14 14:16:00,Desktop,Firefox,Facebook,P_117,Beauty,1565.29,0.0,COD,Kolkata
100,S_1013,U_243,Homepage,2025-09-11 08:40:00,Desktop,Safari,Facebook,P_286,Clothing,4197.22,3237.66,COD,Mumbai
101,S_1668,U_436,Homepage,2025-06-24 23:10:00,Mobile,Chrome,Google,P_168,Beauty,330.98,0.0,Credit Card,Chennai
102,S_1822,U_11,Add_to_Cart,2025-07-21 07:31:00,Mobile,Firefox,Direct,P_107,Beauty,1348.64,0.0,UPI,Kolkata
103,S_1229,U_53,Product_Page,2025-08-10 22:52:00,Mobile,Chrome,Google,P_137,Electronics,3144.63,0.0,COD,Chennai
104,S_1611,U_627,Product_Page,2025-09-22 08:47:00,Desktop,Chrome,Facebook,P_184,Clothing,754.54,0.0,UPI,Delhi
105,S_1824,U_35,Purchase,2025-06-18 12:05:00,Desktop,Edge,Direct,P_144,Beauty,2491.67,5822.88,COD,Hyderabad
106,S_1901,U_138,Homepage,2025-08-19 01:48:00,Mobile,Firefox,Email,P_277,Clothing,2350.17,0.0,Debit Card,Kolkata
107,S_1333,U_177,Product_Page,2025-06-27 11:36:00,Tablet,Edge,Google,P_182,Sportswear,4306.86,7684.22,Credit Card,Kolkata
108,S_1856,U_588,Checkout,2025-06-23 22:13:00,Desktop,Firefox,Direct,P_110,Electronics,3239.37,0.0,COD,Mumbai
109,S_1824,U_543,Homepage,2025-07-19 08:54:00,Mobile,Chrome,Direct,P_190,Electronics,3306.6,0.0,Debit Card,Mumbai
110,S_1317,U_362,Homepage,2025-09-07 08:41:00,Mobile,Edge,Direct,P_200,Electronics,4773.5,8330.2,COD,Bangalore
111,S_1363,U_56,Product_Page,2025-10-21 03:16:00,Mobile,Chrome,Google,P_288,Home & Kitchen,4917.09,0.0,Credit Card,Kolkata
112,S_1486,U_223,Homepage,2025-09-22 19:40:00,Mobile,Firefox,Email,P_254,Clothing,3370.96,4528.06,Debit Card,Mumbai
113,S_1083,U_530,Purchase,2025-07-19 23:40:00,Desktop,Safari,Direct,P_143,Sportswear,2753.41,0.0,UPI,Mumbai
114,S_1211,U_134,Checkout,2025-07-30 22:07:00,Desktop,Edge,Google,P_201,Beauty,3157.22,0.0,COD,Delhi
115,S_1684,U_427,Add_to_Cart,2025-06-09 10:34:00,Mobile,Edge,Facebook,P_160,Sportswear,2097.49,0.0,COD,Bangalore
116,S_1912,U_63,Checkout,2025-09-01 11:39:00,Desktop,Chrome,Google,P_180,Clothing,4941.05,0.0,Debit Card,Mumbai
117,S_1175,U_93,Checkout,2025-08-30 01:23:00,Tablet,Chrome,Google,P_247,Electronics,3613.6,0.0,Credit Card,Mumbai
118,S_1027,U_40,Homepage,2025-06-20 11:11:00,Mobile,Safari,Google,P_196,Home & Kitchen,1667.73,6691.73,COD,Hyderabad
119,S_1902,U_706,Checkout,2025-06-01 08:19:00,Desktop,Edge,Direct,P_199,Clothing,571.5,0.0,Debit Card,Kolkata
120,S_1050,U_428,Product_Page,2025-06-24 00:09:00,Mobile,Firefox,Google,P_255,Clothing,510.19,1453.48,Credit Card,Mumbai
121,S_1390,U_561,Checkout,2025-06-04 11:12:00,Desktop,Firefox,Facebook,P_223,Beauty,1263.09,0.0,COD,Delhi
122,S_1045,U_290,Checkout,2025-10-21 05:09:00,Mobile,Edge,Direct,P_207,Sportswear,1394.69,0.0,Debit Card,Mumbai
123,S_1925,U_347,Product_Page,2025-07-22 02:23:00,Mobile,Edge,Facebook,P_293,Sportswear,2250.71,0.0,Credit Card,Kolkata
124,S_1354,U_694,Homepage,2025-06-11 10:19:00,Tablet,Edge,Instagram,P_103,Beauty,1309.78,3721.86,COD,Mumbai
125,S_1660,U_174,Homepage,2025-10-04 07:04:00,Mobile,Safari,Google,P_295,Home & Kitchen,3265.28,820.99,COD,Chennai
126,S_1896,U_348,Product_Page,2025-07-04 00:07:00,Mobile,Firefox,Direct,P_254,Electronics,1292.9,1995.45,Credit Card,Mumbai
127,S_1544,U_689,Checkout,2025-09-03 09:13:00,Mobile,Firefox,Direct,P_158,Electronics,1183.02,0.0,Credit Card,Bangalore
128,S_1031,U_792,Checkout,2025-06-07 18:55:00,Tablet,Chrome,Google,P_135,Home & Kitchen,2514.81,4596.24,Debit Card,Kolkata
129,S_1018,U_762,Homepage,2025-07-02 23:12:00,Desktop,Chrome,Email,P_152,Beauty,4476.74,0.0,COD,Kolkata
130,S_1504,U_475,Product_Page,2025-09-02 07:43:00,Desktop,Edge,Email,P_164,Clothing,2501.04,0.0,COD,Chennai
131,S_1806,U_335,Product_Page,2025-08-01 05:45:00,Desktop,Chrome,Facebook,P_135,Sportswear,2245.09,0.0,Debit Card,Bangalore
132,S_1662,U_704,Homepage,2025-10-18 10:02:00,Desktop,Safari,Google,P_222,Clothing,3017.05,0.0,COD,Bangalore
133,S_1975,U_245,Homepage,2025-07-02 18:18:00,Mobile,Firefox,Google,P_166,Sportswear,1508.9,0.0,COD,Kolkata
134,S_1506,U_102,Product_Page,2025-07-05 15:19:00,Mobile,Firefox,Instagram,P_206,Clothing,1961.15,8414.87,COD,Delhi
135,S_1694,U_303,Purchase,2025-09-27 02:01:00,Mobile,Chrome,Email,P_131,Beauty,1305.03,0.0,UPI,Mumbai
136,S_1706,U_505,Product_Page,2025-08-27 01:08:00,Desktop,Edge,Email,P_217,Beauty,2987.51,0.0,Credit Card,Bangalore
137,S_1917,U_473,Product_Page,2025-06-01 14:04:00,Mobile,Chrome,Google,P_236,Home & Kitchen,3577.72,5388.0,UPI,Mumbai
138,S_1117,U_343,Add_to_Cart,2025-10-13 06:40:00,Desktop,Edge,Facebook,P_274,Clothing,3466.38,0.0,UPI,Mumbai
139,S_1677,U_470,Product_Page,2025-08-20 17:12:00,Mobile,Safari,Google,P_132,Clothing,1497.64,0.0,Credit Card,Delhi
140,S_1404,U_289,Purchase,2025-09-19 10:03:00,Mobile,Firefox,Facebook,P_161,Home & Kitchen,3964.35,6358.37,UPI,Delhi
141,S_1171,U_559,Purchase,2025-09-11 09:53:00,Desktop,Safari,Email,P_145,Home & Kitchen,1502.98,5280.7,Debit Card,Bangalore
142,S_1435,U_179,Product_Page,2025-07-23 17:10:00,Desktop,Firefox,Instagram,P_187,Beauty,1006.46,9227.56,UPI,Bangalore
143,S_1519,U_552,Product_Page,2025-08-10 14:23:00,Desktop,Safari,Direct,P_244,Beauty,1944.1,0.0,Debit Card,Kolkata
144,S_1604,U_488,Product_Page,2025-09-10 12:30:00,Mobile,Chrome,Email,P_200,Clothing,3109.4,0.0,Credit Card,Chennai
145,S_1491,U_465,Product_Page,2025-07-27 23:16:00,Tablet,Safari,Facebook,P_280,Beauty,967.41,5857.09,COD,Mumbai
146,S_1834,U_691,Homepage,2025-09-09 23:21:00,Mobile,Safari,Google,P_131,Beauty,3346.01,0.0,Credit Card,Kolkata
147,S_1059,U_215,Add_to_Cart,2025-09-13 13:48:00,Desktop,Chrome,Email,P_269,Clothing,4356.42,0.0,Credit Card,Mumbai
148,S_1060,U_381,Product_Page,2025-09-26 22:04:00,Mobile,Firefox,Instagram,P_164,Home & Kitchen,1677.76,0.0,UPI,Delhi
149,S_1784,U_625,Homepage,2025-07-24 19:07:00,Mobile,Firefox,Facebook,P_111,Clothing,2415.97,0.0,Credit Card,Delhi
150,S_1479,U_426,Product_Page,2025-07-13 01:57:00,Mobile,Chrome,Google,P_202,Electronics,1373.06,3487.96,Credit Card,Kolkata
151,S_1546,U_612,Purchase,2025-08-23 05:15:00,Desktop,Safari,Direct,P_278,Clothing,1997.93,0.0,Debit Card,Bangalore
152,S_1809,U_166,Homepage,2025-09-22 03:05:00,Desktop,Safari,Facebook,P_206,Electronics,403.26,0.0,COD,Chennai
153,S_1032,U_599,Homepage,2025-09-03 17:31:00,Mobile,Safari,Google,P_109,Clothing,4782.72,0.0,UPI,Chennai
154,S_1862,U_788,Product_Page,2025-06-04 19:35:00,Desktop,Edge,Direct,P_169,Electronics,2254.68,1009.19,COD,Delhi
155,S_1399,U_8,Purchase,2025-07-01 05:10:00,Desktop,Firefox,Google,P_230,Electronics,4007.69,6018.01,COD,Delhi
156,S_1375,U_139,Homepage,2025-07-29 04:20:00,Desktop,Safari,Direct,P_121,Clothing,970.42,0.0,COD,Chennai
157,S_1882,U_497,Add_to_Cart,2025-08-15 14:56:00,Mobile,Firefox,Direct,P_200,Beauty,4118.07,0.0,UPI,Chennai
158,S_1273,U_621,Checkout,2025-08-23 15:44:00,Mobile,Safari,Direct,P_232,Sportswear,4342.69,0.0,Credit Card,Bangalore
159,S_1448,U_309,Homepage,2025-08-12 08:59:00,Tablet,Chrome,Google,P_245,Beauty,3662.74,0.0,COD,Chennai
160,S_1231,U_150,Add_to_Cart,2025-08-30 10:45:00,Mobile,Chrome,Direct,P_145,Electronics,4545.08,8978.61,UPI,Mumbai
161,S_1647,U_671,Product_Page,2025-07-10 12:26:00,Mobile,Firefox,Facebook,P_173,Clothing,1085.83,0.0,Credit Card,Chennai
162,S_1026,U_676,Add_to_Cart,2025-06-19 03:28:00,Desktop,Firefox,Instagram,P_152,Clothing,2539.46,5852.6,COD,Hyderabad
163,S_1671,U_458,Add_to_Cart,2025-06-01 05:02:00,Mobile,Chrome,Instagram,P_235,Clothing,3214.51,0.0,Debit Card,Chennai
164,S_1818,U_303,Product_Page,2025-06-20 18:39:00,Desktop,Edge,Direct,P_124,Clothing,3102.11,0.0,UPI,Delhi
165,S_1819,U_180,Homepage,2025-10-14 13:40:00,Mobile,Chrome,Instagram,P_203,Sportswear,4346.89,7546.88,COD,Delhi
166,S_1567,U_707,Checkout,2025-09-18 03:10:00,Desktop,Safari,Instagram,P_200,Home & Kitchen,1313.75,8883.29,UPI,Hyderabad
167,S_1906,U_481,Product_Page,2025-08-21 08:05:00,Desktop,Edge,Direct,P_235,Electronics,1125.53,0.0,Debit Card,Mumbai
168,S_1061,U_440,Homepage,2025-08-26 02:00:00,Desktop,Chrome,Direct,P_231,Sportswear,1490.88,0.0,UPI,Chennai
169,S_1496,U_46,Homepage,2025-07-08 18:30:00,Desktop,Edge,Facebook,P_242,Beauty,4490.29,0.0,Credit Card,Chennai
170,S_1058,U_352,Add_to_Cart,2025-10-20 00:13:00,Desktop,Edge,Email,P_253,Home & Kitchen,4722.83,0.0,COD,Hyderabad
171,S_1547,U_271,Add_to_Cart,2025-10-20 16:39:00,Desktop,Edge,Google,P_252,Home & Kitchen,2977.26,0.0,UPI,Bangalore
172,S_1522,U_244,Homepage,2025-06-23 21:11:00,Tablet,Firefox,Direct,P_217,Clothing,2656.45,0.0,UPI,Bangalore
173,S_1348,U_742,Product_Page,2025-06-28 23:25:00,Mobile,Chrome,Direct,P_187,Sportswear,3145.31,0.0,COD,Mumbai
174,S_1927,U_251,Homepage,2025-06-11 22:35:00,Mobile,Firefox,Instagram,P_157,Beauty,3196.65,0.0,Debit Card,Chennai
175,S_1385,U_17,Add_to_Cart,2025-10-06 09:48:00,Mobile,Firefox,Facebook,P_252,Clothing,1100.43,7446.45,Debit Card,Chennai
176,S_1492,U_785,Homepage,2025-09-25 01:31:00,Tablet,Safari,Instagram,P_141,Clothing,3526.13,3071.16,COD,Chennai
177,S_1914,U_92,Add_to_Cart,2025-08-20 05:32:00,Mobile,Safari,Direct,P_233,Electronics,2426.05,0.0,COD,Delhi
178,S_1970,U_183,Product_Page,2025-08-06 10:49:00,Mobile,Edge,Direct,P_131,Home & Kitchen,2731.7,0.0,Credit Card,Kolkata
179,S_1846,U_409,Purchase,2025-09-07 00:10:00,Desktop,Edge,Instagram,P_281,Beauty,442.49,0.0,UPI,Bangalore
180,S_1603,U_689,Homepage,2025-07-27 08:19:00,Desktop,Safari,Direct,P_144,Home & Kitchen,3893.42,6673.73,UPI,Kolkata
181,S_1225,U_761,Product_Page,2025-08-31 11:16:00,Mobile,Safari,Email,P_130,Sportswear,4226.51,8826.23,Debit Card,Hyderabad
182,S_1375,U_686,Homepage,2025-06-04 00:07:00,Mobile,Chrome,Google,P_120,Electronics,3211.28,4171.05,Credit Card,Kolkata
183,S_1118,U_380,Purchase,2025-06-10 01:22:00,Mobile,Edge,Google,P_173,Clothing,3819.0,7807.88,UPI,Delhi
184,S_1252,U_375,Checkout,2025-08-13 06:12:00,Desktop,Edge,Google,P_145,Electronics,2756.72,0.0,Credit Card,Delhi
185,S_1179,U_25,Product_Page,2025-07-28 16:39:00,Desktop,Safari,Email,P_122,Clothing,3206.26,0.0,COD,Bangalore
186,S_1292,U_763,Add_to_Cart,2025-08-22 11:16:00,Mobile,Chrome,Direct,P_144,Electronics,2154.49,0.0,UPI,Chennai
187,S_1068,U_389,Checkout,2025-09-30 04:34:00,Desktop,Safari,Instagram,P_266,Clothing,4021.81,0.0,COD,Mumbai
188,S_1804,U_90,Add_to_Cart,2025-06-18 20:58:00,Mobile,Safari,Facebook,P_297,Home & Kitchen,2500.87,0.0,Debit Card,Kolkata
189,S_1785,U_297,Product_Page,2025-10-25 02:27:00,Mobile,Firefox,Direct,P_271,Home & Kitchen,3497.0,5792.48,Debit Card,Hyderabad
190,S_1520,U_337,Homepage,2025-07-29 13:32:00,Mobile,Edge,Email,P_165,Home & Kitchen,3220.72,0.0,COD,Bangalore
